"","Method.name","Category","Reference.based...Reference.free","ST.coordinates","Image","Main.output","Programming.language"
"55","BayesTME","Bayesian","Both","Yes","No","Counts, Probabilities","Python"
"61","MUSTANG","Bayesian","Both","Yes","No","Proportions ","Python/R"
"31","Starfysh","Bayesian","Both","No","Optional","Proportions","Python"
"27","STIE","Bayesian","Both","No","Yes","Proportions","R"
"11","UniCell Deconvolve","Deep learning","Both","No","No","Proportions","Python"
"47","CARD","Matrix factorization","Both","Yes","No","Proportions","R"
"39","Cell2location","Bayesian","Reference-based","Yes","Optional","Counts","Python"
"24","DestVI","Bayesian","Reference-based","No","No","Proportions","Python/R"
"25","GIST","Bayesian","Reference-based","No","Yes","Proportions","R"
"2","MAST-Decon","Bayesian","Reference-based","Yes","Optional","Proportions","-"
"35","POLARIS","Bayesian","Reference-based","Yes","Optional","Proportions ","Python"
"20","RCTD","Bayesian","Reference-based","No","No","Proportions","R"
"13","SpatialScope","Bayesian","Reference-based","Yes","Yes","Cell location, Single-cell gene expression","Python"
"30","ST-assign","Bayesian","Reference-based","No","No","Counts","Python"
"43","stereoscope","Bayesian","Reference-based","Yes","No","Proportions","Python"
"12","stVAE","Bayesian","Reference-based","No","No","Proportions","Python"
"63","EnDecon","Consensus algorithm","Reference-based","Yes","No ","Proportions","R"
"49","AntiSplodge","Deep learning","Reference-based","No","No","Proportions","Python"
"32","Bulk2space","Deep learning","Reference-based","No","No","Counts, Single-cell gene expression","Python"
"46","CellDART","Deep learning","Reference-based","No","No","Proportions ","Python/R"
"44","DSTG","Deep learning","Reference-based","No","No","Proportions ","Python"
"50","GNNDeconvolver","Deep learning","Reference-based","Yes","No","Proportions","Python"
"34","GraphST","Deep learning","Reference-based","Yes","No ","Mapping, Proportions","Python"
"62","GTAD","Deep learning","Reference-based","No","No","Proportions","Python/R"
"1","LETSmix","Deep learning","Reference-based","Yes","Yes","Proportions","Python"
"8","RedeHist","Deep learning","Reference-based","No","Yes","Cell location, Single-cell gene expression","Python"
"48","SD2","Deep learning","Reference-based","Yes","No","Probabilities, Proportions","Python/R"
"15","SPACEL-Spoint","Deep learning","Reference-based","No","No","Proportions ","Python"
"26","SpaDecon","Deep learning","Reference-based","Optional","Optional","Proportions","Python"
"18","SpatialcoGCN","Deep learning","Reference-based","No","No","Proportions","Python"
"28","SpatialDDLS","Deep learning","Reference-based","Yes","No","Proportions","R"
"57","spSeudoMap","Deep learning","Reference-based","No","No","Proportions ","Python"
"54","STdGCN","Deep learning","Reference-based","Yes","No","Proportions ","Python"
"19","STEM","Deep learning","Reference-based","Yes","No","Mapping, Cell location","Python"
"22","Tangram","Deep learning","Reference-based","Yes","Yes","Mapping","Python"
"45","LANTSA","Dimensionality reduction","Reference-based","No","No","Probabilities","Python"
"6","DOT","Optimal transport","Reference-based","Yes","No","Counts","R"
"7","NovoSpaRc","Optimal transport","Reference-based","Yes","No","Probabilities","Python"
"59","scDOT","Optimal transport","Reference-based","Yes","No","Mapping, Proportions","Python"
"38","SpaTrio","Optimal transport","Reference-based","Yes","No","Mapping, Proportions","Python/R"
"37","TACCO","Optimal transport","Reference-based","No","No","Proportions, Single-cell gene expression","Python"
"4","AdRoit","Regression","Reference-based","No","No","Proportions","R"
"36","CellTrek","Regression","Reference-based","Yes","No","Mapping","R"
"40","Cottrazm","Regression","Reference-based","Yes","Yes","Proportions","R"
"5","NLSDeconv","Regression","Reference-based","No","No","Proportions","Python"
"14","Redeconve","Regression","Reference-based","No","No","Counts","R"
"58","SONAR","Regression","Reference-based","Yes","No","Proportions ","R/MATLAB"
"42","SpaCET","Regression","Reference-based","No","No","Proportions","R"
"56","SPADE","Regression","Reference-based","Yes","Yes","Proportions","R"
"21","SpatialDWLS","Regression","Reference-based","No","No","Proportions","R"
"60","SpatialPrompt","Regression","Reference-based","Yes","No","Proportions ","Python"
"41","SPOTlight","Regression","Reference-based","No","No","Proportions","R"
"9","STRIDE","Topic modeling","Reference-based","No","No","Proportions","Python"
"52","Celloscope","Bayesian","Reference-free","No","Yes","Proportions ","R"
"33","RETROFIT","Bayesian","Reference-free","No","No","Proportions","R"
"16","scResolve","Deep learning","Reference-free","No","Yes","Cell location, Single-cell gene expression","Python"
"51","TESLA","Deep learning","Reference-free","Yes","Yes","Super-pixel gene expression","Python"
"10","TransformerST","Deep learning","Reference-free","Yes","Yes","Single-cell gene expression","Python"
"29","CellsFromSpace","Dimensionality reduction","Reference-free","No","No","Proportions","R"
"17","CellPie","Matrix factorization","Reference-free","No","Yes","Proportions ","Python"
"53","FAST","Matrix factorization","Reference-free","Yes","Yes","Proportions","R"
"3","SMART","Topic modeling","Reference-free","No","No","Proportions","R"
"23","STdeconvolve","Topic modeling","Reference-free","No","No","Proportions","R"
